home_games,home_win_rate,home_draw_rate,home_loss_rate,home_points_per_game,home_goals_for_per_game,home_goals_against_per_game,home_goal_diff_per_game,home_home_goals_for_per_game,home_home_goals_against_per_game,home_away_goals_for_per_game,home_away_goals_against_per_game,home_recent_points_per_game,home_recent_goals_for,home_recent_goals_against,home_elo,away_games,away_win_rate,away_draw_rate,away_loss_rate,away_points_per_game,away_goals_for_per_game,away_goals_against_per_game,away_goal_diff_per_game,away_home_goals_for_per_game,away_home_goals_against_per_game,away_away_goals_for_per_game,away_away_goals_against_per_game,away_recent_points_per_game,away_recent_goals_for,away_recent_goals_against,away_elo,games_diff,points_per_game_diff,goal_diff_per_game_diff,recent_points_per_game_diff,elo_diff,h2h_games,h2h_home_win_rate,h2h_draw_rate,h2h_goal_diff_per_game,is_world_cup,is_knockout,is_neutral_site,competition,stage,match_id,match_datetime_utc,match_date,home_team,away_team,FTHG,FTAG,FTR,home_shots,away_shots,home_sot,away_sot,source
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,46457,2002-05-31T11:30:00+00:00,2002-05-31,France,Senegal,0,1,A,16.0,6.0,7.0,5.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48811,2002-06-01T06:30:00+00:00,2002-06-01,Republic of Ireland,Cameroon,1,1,D,9.0,11.0,5.0,5.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48812,2002-06-01T09:00:00+00:00,2002-06-01,Uruguay,Denmark,1,2,A,5.0,6.0,4.0,4.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48278,2002-06-01T11:30:00+00:00,2002-06-01,Germany,Saudi Arabia,8,0,H,24.0,2.0,14.0,0.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48813,2002-06-02T05:30:00+00:00,2002-06-02,Argentina,Nigeria,1,0,H,18.0,7.0,9.0,2.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48814,2002-06-02T07:30:00+00:00,2002-06-02,Paraguay,South Africa,2,2,D,9.0,9.0,6.0,4.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48815,2002-06-02T09:30:00+00:00,2002-06-02,England,Sweden,1,1,D,10.0,13.0,4.0,6.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48816,2002-06-02T11:30:00+00:00,2002-06-02,Spain,Slovenia,3,1,H,13.0,10.0,7.0,3.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48817,2002-06-03T06:30:00+00:00,2002-06-03,Croatia,Mexico,0,1,A,8.0,8.0,4.0,4.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48818,2002-06-03T09:00:00+00:00,2002-06-03,Brazil,Türkiye,2,1,H,18.0,6.0,11.0,4.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48819,2002-06-03T11:30:00+00:00,2002-06-03,Italy,Ecuador,2,0,H,13.0,8.0,8.0,4.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48820,2002-06-04T06:30:00+00:00,2002-06-04,China,Costa Rica,0,2,A,6.0,11.0,3.0,5.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48821,2002-06-04T09:00:00+00:00,2002-06-04,Japan,Belgium,2,2,D,8.0,9.0,4.0,6.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48288,2002-06-04T11:30:00+00:00,2002-06-04,South Korea,Poland,2,0,H,14.0,8.0,8.0,2.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48822,2002-06-05T06:30:00+00:00,2002-06-05,Russia,Tunisia,2,0,H,16.0,6.0,7.0,2.0,espn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48823,2002-06-05T09:00:00+00:00,2002-06-05,United States,Portugal,3,2,H,12.0,13.0,7.0,1.0,espn
1.0,1.0,0.0,0.0,3.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.3,8.0,0.0,1523.606,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,1.0,1500.0,0.0,2.0,8.0,0.19999999999999998,23.605999999999995,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48824,2002-06-05T11:30:00+00:00,2002-06-05,Germany,Republic of Ireland,1,1,D,8.0,7.0,3.0,3.0,espn
1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.3,2.0,1.0,1517.864,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,1.0,0.0,1517.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48825,2002-06-06T06:30:00+00:00,2002-06-06,Denmark,Senegal,1,1,D,3.0,13.0,2.0,7.0,espn
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,1.0,1.0,1500.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,-8.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1476.394,0.0,1.0,8.0,0.1,23.605999999999995,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48826,2002-06-06T09:00:00+00:00,2002-06-06,Cameroon,Saudi Arabia,1,0,H,13.0,14.0,6.0,4.0,espn
1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1482.136,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1482.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48827,2002-06-06T11:30:00+00:00,2002-06-06,France,Uruguay,0,0,D,13.0,11.0,7.0,8.0,espn
1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,2.0,2.0,1500.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1480.222,0.0,1.0,2.0,0.1,19.77800000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48831,2002-06-08T06:30:00+00:00,2002-06-08,South Africa,Slovenia,1,0,H,12.0,5.0,6.0,1.0,espn
