competition,match_date,match_datetime_utc,home_team,away_team,predicted_result,pred_home_goals,pred_away_goals,prob_home,prob_draw,prob_away
England/Championship,2026-05-23,2026-05-23T01:00:00+00:00,Hull,Southampton,H,1.825,1.731,0.527487,0.222035,0.250479
Italy/Serie A,2026-05-23,2026-05-23T16:00:00+00:00,Bologna,Inter,A,0.725,1.469,0.254598,0.23,0.515402
Spain/La Liga,2026-05-23,2026-05-23T19:00:00+00:00,Alaves,Vallecano,A,1.444,1.175,0.300028,0.200727,0.499245
Spain/La Liga,2026-05-23,2026-05-23T19:00:00+00:00,Betis,Levante,H,2.019,0.794,0.643836,0.179015,0.177149
Spain/La Liga,2026-05-23,2026-05-23T19:00:00+00:00,Celta,Sevilla,A,2.131,1.619,0.386862,0.209842,0.403296
UEFA/Champions League,2026-05-30,,Paris SG,Arsenal,D,0.912,1.262,0.339168,0.406971,0.253861
FIFA/World Cup,2026-06-11,2026-06-11T19:00:00+00:00,Mexico,South Africa,H,1.653,0.587,0.63265,0.321867,0.045483
FIFA/World Cup,2026-06-12,2026-06-12T19:00:00+00:00,Canada,Bosnia-Herzegovina,D,2.228,0.959,0.510374,0.387143,0.102484
FIFA/World Cup,2026-06-12,2026-06-12T02:00:00+00:00,South Korea,Czechia,A,1.276,1.047,0.406483,0.228843,0.364674
FIFA/World Cup,2026-06-13,2026-06-13T22:00:00+00:00,Brazil,Morocco,H,1.527,1.516,0.521908,0.147882,0.33021
FIFA/World Cup,2026-06-13,2026-06-13T19:00:00+00:00,Qatar,Switzerland,H,0.691,1.508,0.183857,0.28683,0.529313
FIFA/World Cup,2026-06-13,2026-06-13T01:00:00+00:00,United States,Paraguay,H,1.86,0.943,0.620915,0.27142,0.107665
FIFA/World Cup,2026-06-14,2026-06-14T04:00:00+00:00,Australia,Turkey,A,1.295,1.489,0.315389,0.202147,0.482464
FIFA/World Cup,2026-06-14,2026-06-14T17:00:00+00:00,Germany,Curaçao,H,3.894,0.82,0.64681,0.282082,0.071108
FIFA/World Cup,2026-06-14,2026-06-14T01:00:00+00:00,Haiti,Scotland,A,0.75,1.555,0.162571,0.236445,0.600984
FIFA/World Cup,2026-06-14,2026-06-14T23:00:00+00:00,Ivory Coast,Ecuador,A,0.947,0.659,0.310799,0.417497,0.271704
FIFA/World Cup,2026-06-14,2026-06-14T20:00:00+00:00,Netherlands,Japan,A,1.484,1.295,0.436362,0.241218,0.32242
FIFA/World Cup,2026-06-15,2026-06-15T19:00:00+00:00,Belgium,Egypt,D,2.226,0.669,0.595392,0.319138,0.08547
FIFA/World Cup,2026-06-15,2026-06-15T22:00:00+00:00,Saudi Arabia,Uruguay,A,0.685,1.021,0.167315,0.308427,0.524258
FIFA/World Cup,2026-06-15,2026-06-15T16:00:00+00:00,Spain,Cape Verde,H,2.753,0.571,0.677627,0.255442,0.066931
FIFA/World Cup,2026-06-15,2026-06-15T02:00:00+00:00,Sweden,Tunisia,H,1.54,0.969,0.528708,0.293712,0.177579
FIFA/World Cup,2026-06-16,2026-06-16T19:00:00+00:00,France,Senegal,H,2.048,0.926,0.614927,0.173895,0.211178
FIFA/World Cup,2026-06-16,2026-06-16T01:00:00+00:00,Iran,New Zealand,D,1.509,0.912,0.544283,0.224029,0.231688
FIFA/World Cup,2026-06-16,2026-06-16T22:00:00+00:00,Iraq,Norway,H,0.989,2.021,0.235928,0.235703,0.52837
FIFA/World Cup,2026-06-17,2026-06-17T01:00:00+00:00,Argentina,Algeria,H,2.104,1.201,0.587472,0.171969,0.240559
FIFA/World Cup,2026-06-17,2026-06-17T04:00:00+00:00,Austria,Jordan,H,2.663,0.733,0.518631,0.452626,0.028743
FIFA/World Cup,2026-06-17,2026-06-17T20:00:00+00:00,England,Croatia,A,1.546,1.263,0.44737,0.280855,0.271776
FIFA/World Cup,2026-06-17,2026-06-17T23:00:00+00:00,Ghana,Panama,A,1.447,1.756,0.222462,0.159305,0.618233
FIFA/World Cup,2026-06-17,2026-06-17T17:00:00+00:00,Portugal,Congo DR,H,2.095,0.732,0.641923,0.322576,0.035502
FIFA/World Cup,2026-06-18,2026-06-18T22:00:00+00:00,Canada,Qatar,H,1.852,0.517,0.592674,0.384364,0.022962
FIFA/World Cup,2026-06-18,2026-06-18T16:00:00+00:00,Czechia,South Africa,H,1.644,0.877,0.492794,0.435612,0.071594
FIFA/World Cup,2026-06-18,2026-06-18T19:00:00+00:00,Switzerland,Bosnia-Herzegovina,H,3.182,0.966,0.744406,0.234731,0.020863
FIFA/World Cup,2026-06-18,2026-06-18T02:00:00+00:00,Uzbekistan,Colombia,D,0.933,1.759,0.173398,0.174102,0.6525
FIFA/World Cup,2026-06-19,2026-06-19T01:00:00+00:00,Mexico,South Korea,D,1.215,0.941,0.266169,0.575713,0.158117
FIFA/World Cup,2026-06-19,2026-06-19T22:00:00+00:00,Scotland,Morocco,H,0.723,1.38,0.227639,0.208826,0.563535
FIFA/World Cup,2026-06-19,2026-06-19T19:00:00+00:00,United States,Australia,H,1.587,0.974,0.615897,0.201435,0.182669
FIFA/World Cup,2026-06-20,2026-06-20T00:30:00+00:00,Brazil,Haiti,H,3.133,0.858,0.671477,0.258414,0.070108
FIFA/World Cup,2026-06-20,2026-06-20T20:00:00+00:00,Germany,Ivory Coast,D,1.572,0.759,0.413799,0.363982,0.222219
FIFA/World Cup,2026-06-20,2026-06-20T17:00:00+00:00,Netherlands,Sweden,H,3.784,1.346,0.744213,0.196606,0.059181
FIFA/World Cup,2026-06-20,2026-06-20T03:00:00+00:00,Turkey,Paraguay,H,1.757,0.847,0.578074,0.359496,0.06243
FIFA/World Cup,2026-06-21,2026-06-21T19:00:00+00:00,Belgium,Iran,H,2.712,0.72,0.70471,0.238811,0.05648
FIFA/World Cup,2026-06-21,2026-06-21T00:00:00+00:00,Ecuador,Curaçao,H,3.075,0.883,0.71276,0.19701,0.09023
FIFA/World Cup,2026-06-21,2026-06-21T16:00:00+00:00,Spain,Saudi Arabia,D,2.273,0.693,0.389915,0.516177,0.093908
FIFA/World Cup,2026-06-21,2026-06-21T04:00:00+00:00,Tunisia,Japan,H,0.291,1.33,0.181052,0.142656,0.676293
FIFA/World Cup,2026-06-21,2026-06-21T22:00:00+00:00,Uruguay,Cape Verde,H,2.041,0.505,0.664861,0.219883,0.115256
FIFA/World Cup,2026-06-22,2026-06-22T17:00:00+00:00,Argentina,Austria,H,2.057,1.28,0.537171,0.203509,0.25932
FIFA/World Cup,2026-06-22,2026-06-22T21:00:00+00:00,France,Iraq,D,1.851,0.681,0.41086,0.48589,0.10325
FIFA/World Cup,2026-06-22,2026-06-22T01:00:00+00:00,New Zealand,Egypt,A,0.717,1.731,0.104264,0.215411,0.680324
FIFA/World Cup,2026-06-23,2026-06-23T20:00:00+00:00,England,Ghana,H,2.463,0.635,0.720557,0.218431,0.061012
FIFA/World Cup,2026-06-23,2026-06-23T03:00:00+00:00,Jordan,Algeria,A,0.651,1.781,0.137698,0.139012,0.723289
FIFA/World Cup,2026-06-23,2026-06-23T00:00:00+00:00,Norway,Senegal,D,1.304,1.187,0.346762,0.425214,0.228024
FIFA/World Cup,2026-06-23,2026-06-23T23:00:00+00:00,Panama,Croatia,H,0.725,1.331,0.267018,0.174998,0.557984
FIFA/World Cup,2026-06-23,2026-06-23T17:00:00+00:00,Portugal,Uzbekistan,D,2.168,0.715,0.550145,0.413445,0.03641
FIFA/World Cup,2026-06-24,2026-06-24T19:00:00+00:00,Bosnia-Herzegovina,Qatar,A,1.797,0.721,0.487692,0.22346,0.288847
FIFA/World Cup,2026-06-24,2026-06-24T02:00:00+00:00,Colombia,Congo DR,D,1.564,0.719,0.489052,0.431585,0.079363
FIFA/World Cup,2026-06-24,2026-06-24T22:00:00+00:00,Morocco,Haiti,D,2.674,0.757,0.67814,0.262176,0.059684
FIFA/World Cup,2026-06-24,2026-06-24T22:00:00+00:00,Scotland,Brazil,A,0.778,1.824,0.205989,0.257363,0.536647
FIFA/World Cup,2026-06-24,2026-06-24T19:00:00+00:00,Switzerland,Canada,A,1.222,0.898,0.329507,0.37458,0.295913
FIFA/World Cup,2026-06-25,2026-06-25T20:00:00+00:00,Curaçao,Ivory Coast,H,0.924,1.644,0.22315,0.284587,0.492262
FIFA/World Cup,2026-06-25,2026-06-25T01:00:00+00:00,Czechia,Mexico,H,0.835,1.242,0.259554,0.294104,0.446342
FIFA/World Cup,2026-06-25,2026-06-25T20:00:00+00:00,Ecuador,Germany,A,0.797,1.101,0.213641,0.257549,0.52881
FIFA/World Cup,2026-06-25,2026-06-25T23:00:00+00:00,Japan,Sweden,H,2.648,1.095,0.591187,0.308347,0.100466
FIFA/World Cup,2026-06-25,2026-06-25T01:00:00+00:00,South Africa,South Korea,D,0.49,1.623,0.132605,0.18101,0.686385
FIFA/World Cup,2026-06-25,2026-06-25T23:00:00+00:00,Tunisia,Netherlands,H,0.731,1.392,0.171322,0.302807,0.525872
FIFA/World Cup,2026-06-26,2026-06-26T19:00:00+00:00,Norway,France,D,1.194,1.398,0.254533,0.263218,0.482249
FIFA/World Cup,2026-06-26,2026-06-26T02:00:00+00:00,Paraguay,Australia,H,0.893,1.248,0.307535,0.22255,0.469915
FIFA/World Cup,2026-06-26,2026-06-26T19:00:00+00:00,Senegal,Iraq,H,1.891,0.687,0.553982,0.400136,0.045882
FIFA/World Cup,2026-06-26,2026-06-26T02:00:00+00:00,Turkey,United States,H,1.443,1.706,0.430968,0.204592,0.36444
FIFA/World Cup,2026-06-27,2026-06-27T00:00:00+00:00,Cape Verde,Saudi Arabia,H,1.277,0.95,0.312765,0.256922,0.430313
FIFA/World Cup,2026-06-27,2026-06-27T23:30:00+00:00,Colombia,Portugal,A,0.994,1.462,0.15529,0.347244,0.497466
FIFA/World Cup,2026-06-27,2026-06-27T23:30:00+00:00,Congo DR,Uzbekistan,H,1.098,0.585,0.420276,0.303966,0.275758
FIFA/World Cup,2026-06-27,2026-06-27T21:00:00+00:00,Croatia,Ghana,D,2.379,0.707,0.713222,0.243125,0.043653
FIFA/World Cup,2026-06-27,2026-06-27T03:00:00+00:00,Egypt,Iran,H,1.608,0.706,0.686547,0.235048,0.078405
FIFA/World Cup,2026-06-27,2026-06-27T03:00:00+00:00,New Zealand,Belgium,A,0.752,1.998,0.141095,0.383507,0.475399
FIFA/World Cup,2026-06-27,2026-06-27T21:00:00+00:00,Panama,England,A,0.871,1.522,0.189325,0.24355,0.567126
FIFA/World Cup,2026-06-27,2026-06-27T00:00:00+00:00,Uruguay,Spain,D,0.67,2.241,0.127678,0.216096,0.656225
FIFA/World Cup,2026-06-28,2026-06-28T02:00:00+00:00,Algeria,Austria,A,1.468,1.241,0.378841,0.248229,0.37293
FIFA/World Cup,2026-06-28,2026-06-28T19:00:00+00:00,Group A 2nd Place,Group B 2nd Place,A,0.931,1.148,0.469923,0.122193,0.407884
FIFA/World Cup,2026-06-28,2026-06-28T02:00:00+00:00,Jordan,Argentina,D,0.487,1.299,0.136616,0.306285,0.557098
FIFA/World Cup,2026-06-29,2026-06-29T17:00:00+00:00,Group C Winner,Group F 2nd Place,A,0.931,1.148,0.477187,0.122193,0.400619
FIFA/World Cup,2026-06-29,2026-06-29T20:30:00+00:00,Group E Winner,Third Place Group A/B/C/D/F,A,0.931,1.148,0.466499,0.122193,0.411308
FIFA/World Cup,2026-06-30,2026-06-30T17:00:00+00:00,Group E 2nd Place,Group I 2nd Place,H,0.931,1.148,0.455937,0.122193,0.421869
FIFA/World Cup,2026-06-30,2026-06-30T01:00:00+00:00,Group F Winner,Group C 2nd Place,A,0.931,1.148,0.448392,0.122193,0.429414
FIFA/World Cup,2026-06-30,2026-06-30T21:00:00+00:00,Group I Winner,Third Place Group C/D/F/G/H,D,0.931,1.148,0.450815,0.122193,0.426992
FIFA/World Cup,2026-07-01,2026-07-01T01:00:00+00:00,Group A Winner,Third Place Group C/E/F/H/I,H,0.931,1.148,0.463918,0.122193,0.413889
FIFA/World Cup,2026-07-01,2026-07-01T20:00:00+00:00,Group G Winner,Third Place Group A/E/H/I/J,H,0.931,1.148,0.463847,0.122193,0.413959
FIFA/World Cup,2026-07-01,2026-07-01T16:00:00+00:00,Group L Winner,Third Place Group E/H/I/J/K,A,0.931,1.148,0.468353,0.122193,0.409453
FIFA/World Cup,2026-07-02,2026-07-02T00:00:00+00:00,Group D Winner,Third Place Group B/E/F/I/J,H,0.931,1.148,0.479959,0.122193,0.397848
FIFA/World Cup,2026-07-02,2026-07-02T19:00:00+00:00,Group H Winner,Group J 2nd Place,A,0.931,1.148,0.465364,0.122193,0.412443
FIFA/World Cup,2026-07-02,2026-07-02T23:00:00+00:00,Group K 2nd Place,Group L 2nd Place,H,0.931,1.148,0.453956,0.122193,0.42385
FIFA/World Cup,2026-07-03,2026-07-03T03:00:00+00:00,Group B Winner,Third Place Group E/F/G/I/J,D,0.931,1.148,0.450046,0.122193,0.427761
FIFA/World Cup,2026-07-03,2026-07-03T18:00:00+00:00,Group D 2nd Place,Group G 2nd Place,D,0.931,1.148,0.470116,0.122193,0.40769
